亜鉛	aen	zinc
謙譲	kenzyoo	modesty
謙抑	kenyoku	humbling oneself
謙抑	kenyoku	humbling oneself
恭謙	kyooken	modesty
繭玉	mayudama	New Year's decoration with cocoon-shaped cakes
繭糸	kensi	silk thread
山繭	yamamayu	Japanese oak silkmoth
顕著	kentyo	remarkable
顕彰	kensyoo	honouring
顕在	kenzai	actual
顕微	kenbi	microscopic
顕示	kenzi	revelation
顕正	kensyoo	revealing or demonstrating the truth
顕現	kengen	manifestation
顕教	kengyoo	exoteric Buddhist teachings
顕職	kensyoku	prominent or high post
顕揚	kenyoo	extolling
貴顕	kiken	distinguished person
露顕	roken	discovery
懸念	kenen	worry
懸命	kenmei	eagerness
懸案	kenan	pending question
懸賞	kensyoo	offering prizes
懸垂	kensui	pull-up
懸架	kenka	suspension
懸想	kesoo	falling in love
懸崖	kengai	overhanging cliff
懸隔	kenkaku	difference
懸橋	kakehasi	suspension bridge
懸絶	kenzetu	great difference
幻想	gensoo	illusions
幻覚	genkaku	hallucination
幻影	genei	phantom
幻滅	genmetu	disillusionment
幻惑	genwaku	fascination
幻聴	gentyoo	auditory hallucination
幻視	gensi	visual hallucination
幻術	genzyutu	magic
幻灯	gentoo	slide projector
幻像	genzoo	phantom
幻妖	genyoo	confusing people
変幻	hengen	transformation
夢幻	mugen	dreams
玄関	genkan	entranceway
玄米	genmai	unpolished rice
玄人	kurooto	expert
玄室	gensitu	burial chamber
玄孫	genson	great-great-grandchild
玄妙	genmyoo	abstruse
玄妙	genmyoo	abstruse
玄翁	gennoo	sledgehammer
玄麦	genbaku	unpolished wheat or barley
幽玄	yuugen	subtle grace
弦楽	gengaku	music for strings
弦月	gengetu	crescent moon
弦音	turuoto	sound of vibrating bowstring
下弦	kagen	last quarter
管弦	kangen	wind and string instruments
上弦	zyoogen	1st quarter of moon
弓弦	yuzuru	bowstring
正弦	seigen	sine
三弦	sangen	three-stringed instrument
源泉	gensen	source
源流	genryuu	current-limiting
源氏	genzi	Genji
源平	genpei	Genji and Heike clans
財源	zaigen	source of funds
資源	sigen	resources
震源	singen	hypocentre
税源	zeigen	tax source
電源	dengen	source of electricity
起源	kigen	origin
根源	kongen	root
水源	suigen	source of river
語源	gogen	word root
音源	ongen	sound source
光源	koogen	light source
熱源	netugen	heat source
桃源	toogen	Shangri-La
淵源	engen	origin
本源	hongen	origin
字源	zigen	construction of character
給源	kyuugen	supply source
厳格	genkaku	severe
厳重	genzyuu	strict
厳正	gensei	strictness
厳罰	genbatu	severe punishment
厳密	genmitu	strict
厳戒	genkai	strict guard
厳粛	gensyuku	gravity
厳選	gensen	careful selection
厳冬	gentoo	severe winter
厳守	gensyu	strict observance
厳禁	genkin	strict prohibition
厳寒	genkan	intense cold
厳然	genzen	grave
厳命	genmei	strict order
厳刑	genkei	severe punishment
厳父	genpu	your honored father
厳秘	genpi	strict secret
厳存	genson	real existence
厳酷	genkoku	severity
尊厳	songen	dignity
戒厳	kaigen	martial law
威厳	igen	dignity
荘厳	soogon	solemnity
荘厳	syoogon	adorning
謹厳	kingen	stern
冷厳	reigen	grim
華厳	kegon	avatamsa
峻厳	syungen	strict
謹厳	kingen	stern
森厳	singen	solemn
森厳	singen	solemn
自己	ziko	self
利己	riko	self-interest
克己	kokki	self denial
知己	tiki	acquaintance
一己	ikko	personal
虎穴	koketu	tiger's den
虎口	kokoo	tiger's den
虎斑	torahu	tiger's stripes
虎狼	koroo	wild beasts
虎魚	okoze	stingfish
虎杖	itadori	Japanese knotweed
虎猫	toraneko	ocelot
猛虎	mooko	fierce tiger
白虎	byakko	White Tiger
竜虎	ryuuko	hero
騎虎	kiko	riding a tiger
孤立	koritu	isolation
孤独	kodoku	isolation
孤児	kozi	orphan
孤独	kodoku	isolation
孤高	kokoo	isolation
孤島	kotoo	solitary island
孤軍	kogun	force
孤影	koei	lonely figure
孤絶	kozetu	to become isolated
孤舟	kosyuu	solitary boat
孤城	kozyoo	solitary castle
孤塁	korui	isolated stronghold
孤剣	koken	sole sword
孤客	kokaku	lone traveller
孤帆	kohan	solitary sailboat
弧線	kosen	arc
弧状	kozyoo	in form of arch
円弧	enko	arc
括弧	kakko	parentheses
故障	kosyoo	breakdown
故郷	kokyoo	home town
故人	kozin	the deceased
故意	koi	intention
故事	kozi	origin
故国	kokoku	one's native land
故実	kozitu	ancient practices or customs
故買	kobai	buying stolen goods
故里	hurusato	home town
故殺	kosatu	manslaughter
故山	kozan	one's native place
故知	koti	the wisdom of the ancients
故旧	kokyuu	old acquaintance
故紙	kosi	used paper
故智	koti	the wisdom of the ancients
故老	koroo	old people
事故	ziko	accident
縁故	enko	relation
物故	bukko	death
反故	hogo	wastepaper
世故	seko	worldly affairs
典故	tenko	authentic precedent
誇示	kozi	ostentation
誇張	kotyoo	exaggeration
誇大	kodai	exaggeration
誇称	kosyoo	boasting
鼓舞	kobu	inspiration
鼓動	kodoo	beat
鼓膜	komaku	eardrum
鼓吹	kosui	inspiration
鼓手	kosyu	drummer
鼓笛	koteki	drum and fife
鼓腸	kotyoo	flatulence
鼓腹	kohuku	happiness
太鼓	taiko	drum
舌鼓	sitatuzumi	smacking one's lips
小鼓	kotuzumi	small hand drum
腹鼓	haratuzumi	drumming on one's belly
羯鼓	kakko	kakko
鉦鼓	syooko	small gong
顧問	komon	adviser
顧客	kokyaku	customer
顧慮	koryo	concern
回顧	kaiko	recollecting
一顧	ikko	notice of
愛顧	aiko	patronage
後顧	kooko	looking back
恩顧	onko	favour
呉服	gohuku	draperies
呉竹	kuretake	Alternative name for henon bamboo
呉音	goon	Wu-dynasty reading of Chinese characters
呉須	gosu	gosu porcelain
娯楽	goraku	pleasure
悟道	godoo	enlightenment
悟性	gosei	wisdom
覚悟	kakugo	resolution
大悟	taigo	enlightenment
悔悟	kaigo	remorse
改悟	kaigo	reform
碁盤	goban	Go board
碁石	goisi	Go pieces
碁笥	goke	go-stone container
碁敵	gogataki	go
囲碁	igo	go
置碁	okigo	game of go played with a handicap
持碁	zigo	Go game resulting in tie or draw
護衛	goei	guard
護憲	goken	protecting the constitution
護送	gosoo	escort
護岸	gogan	river dike
護持	gozi	defend and maintain
護身	gosin	self-protection
護国	gokoku	defense of one's country
護摩	goma	homa
護符	gohuu	talisman
護法	gohoo	defence of Buddhist doctrines
護謨	gomu	gum
保護	hogo	care
介護	kaigo	nursing
弁護	bengo	defense
看護	kango	nursing
擁護	yoogo	protection
援護	engo	covering
養護	yoogo	nursing
防護	boogo	protection
警護	keigo	bodyguard
愛護	aigo	protection
救護	kyuugo	relief
守護	syugo	protection
庇護	higo	patronage
加護	kago	divine protection
監護	kango	custody and care
教護	kyoogo	juvenile reform
鎮護	tingo	guarding
掩護	engo	covering
孔雀	kuzyaku	peafowl
孔版	koohan	mimeograph
瞳孔	dookoo	pupil
鼻孔	bikoo	nostril
気孔	kikoo	pore
穿孔	senkoo	perforation
多孔	takoo	porous
功績	kooseki	achievements
功労	kooroo	meritorious deed
功罪	koozai	both good and bad
功名	koomyoo	great achievement
功徳	kudoku	pious act
功利	koori	utility
功臣	koosin	meritorious retainer
功力	kuriki	of one's pious acts or religious practice
功業	koogyoo	exploit
功過	kooka	merits and demerits
成功	seikoo	success
奏功	sookoo	success
気功	kikoo	breathing exercise
年功	nenkoo	long service
戦功	senkoo	distinguished war service
武功	bukoo	military exploits
有功	yuukoo	merit
軍功	gunkoo	meritorious war service
勲功	kunkoo	merits
偉功	ikoo	great deed
大功	taikoo	distinguished or meritorious service
巧妙	koomyoo	ingenious
巧者	koosya	cleverness
巧者	koosya	cleverness
巧拙	koosetu	tact
巧緻	kooti	elaborate
巧言	koogen	flattery
巧緻	kooti	elaborate
技巧	gikoo	technique
精巧	seikoo	elaborate
機巧	kikoo	trick
老巧	rookoo	experienced
繊巧	senkoo	fine workmanship
老巧	rookoo	experienced
甲板	kanpan	deck
甲斐	kai	effect
甲羅	koora	shell
甲子	kinoene	first of the sexagenary cycle
甲乙	koootu	A and B
甲冑	kattyuu	armor and helmet
甲斐	gai	effect
甲虫	kabutomusi	rhinoceros beetle
甲殻	kookaku	carapace
甲種	koosyu	A-grade
甲高	koodaka	high-pitched
装甲	sookoo	armored
手甲	tekkoo	covering for the back of the hand and wrist
機甲	kikoo	armour
亀甲	kikkoo	tortoise shell
鼈甲	bekkoo	tortoiseshell
華甲	kakoo	aged 61
后妃	koohi	queen
皇后	koogoo	empress
午后	gogo	afternoon
母后	bokoo	empress dowager
江上	koozyoo	bank of a large river
江河	kooga	Yangtze and Yellow rivers
江湖	kooko	the public
入江	irie	inlet
坑内	koonai	shaft
坑道	koodoo	tunnel
坑夫	koohu	miner
坑口	kookoo	pithead
坑木	kooboku	mine timbers
炭坑	tankoo	coal mine
廃坑	haikoo	abandoned mine
入坑	nyuukoo	entrance into drift or pit
斜坑	syakoo	inclined shaft
立坑	tatekoo	shaft
縦坑	tatekoo	shaft
竪坑	tatekoo	shaft
孝行	kookoo	filial piety
孝子	koosi	filial child
孝行	kookoo	filial piety
孝養	kooyoo	filial duties
孝心	koosin	filial devotion
孝女	koozyo	filial daughter
孝弟	kootei	filial piety
孝悌	kootei	filial piety
忠孝	tyuukoo	loyalty and filial piety
不孝	hukoo	undutifulness to one's parents
至孝	sikoo	supreme filial piety
不孝	hukoo	undutifulness to one's parents
抗議	koogi	protest
抗争	koosoo	dispute
抗告	kookoku	appeal
抗体	kootai	antibody
抗戦	koosen	resistance
抗日	kooniti	anti-Japanese
抗菌	kookin	antibacterial
抗原	koogen	antigen
抗弁	kooben	protest
抗力	kooryoku	drag
対抗	taikoo	opposition
抵抗	teikoo	resistance
反抗	hankoo	opposition
拮抗	kikkoo	rivalry
攻撃	koogeki	attack
攻勢	koosei	offensive
攻防	kooboo	offense and defense
攻守	koosyu	offense and defense
攻略	kooryaku	capture
攻囲	kooi	siege
攻究	kookyuu	study
専攻	senkoo	major subject
侵攻	sinkoo	invasion
猛攻	mookoo	fierce attack
速攻	sokkoo	swift attack
特攻	tokkoo	suicide attack
進攻	sinkoo	attack
先攻	senkoo	batting first
反攻	hankoo	counteroffensive
内攻	naikoo	settling in internal organs
拘束	koosoku	restriction
拘置	kooti	detention
拘禁	kookin	intern
拘留	kooryuu	detention
拘泥	koodei	adherence to
拘引	kooin	arrest
侯爵	koosyaku	marquis
王侯	ookoo	king and princes
諸侯	syokoo	princes
藩侯	hankoo	feudal lord
恒例	koorei	established practice
恒久	kookyuu	permanent
恒常	koozyoo	constancy
恒星	koosei	star
恒産	koosan	fixed property
恒温	kooon	constant temperature
恒心	koosin	steadiness
洪水	koozui	flood
皇室	koositu	Imperial household
皇后	koogoo	empress
皇居	kookyo	Imperial Palace
皇族	koozoku	imperial family
皇帝	kootei	emperor
皇位	kooi	imperial throne
皇子	oozi	imperial prince
皇統	kootoo	the imperial line
皇女	oozyo	imperial princess
皇国	kookoku	Japan
皇紀	kooki	Imperial era
皇霊	koorei	spirits of past emperors
皇軍	koogun	Imperial Army
皇宮	kooguu	the Imperial Palace
皇祖	kooso	founder of an empire
皇宗	koosoo	imperial ancestors
皇孫	kooson	imperial grandchild or descendant
皇嗣	koosi	Crown Prince
天皇	tennoo	Emperor of Japan
法皇	hoooo	ex-emperor who becomes a monk
教皇	kyookoo	Pope
勤皇	kinnoo	loyalty to the emperor
上皇	zyookoo	retired emperor
尊皇	sonnoo	reverence for the emperor
人皇	zinnoo	emperor
貢献	kooken	contribution
貢物	mitugimono	tribute
年貢	nengu	annual tribute
朝貢	tyookoo	bringing tribute
進貢	sinkoo	paying tribute
入貢	nyuukoo	paying tribute
康平	koohei	Kouhei era
健康	kenkoo	health
小康	syookoo	lull
控訴	kooso	koso appeal
控除	koozyo	subtraction
控室	hikaesitu	waiting room
絞殺	koosatu	strangulation
絞首	koosyu	hanging
項目	koomoku	item
事項	zikoo	matter
条項	zyookoo	clause
要項	yookoo	important points
前項	zenkoo	preceding paragraph
別項	bekkoo	special heading
次項	zikoo	next clause
各項	kakukoo	each item
移項	ikoo	transposition
溝渠	kookyo	ditch
溝鼠	dobunezumi	brown rat
溝萩	misohagi	Lythrum anceps
海溝	kaikoo	ocean trench
側溝	sokkoo	gutter
地溝	tikoo	rift valley
綱領	kooryoo	general plan
綱紀	kooki	law and order
綱要	kooyoo	elements
綱目	koomoku	main point and details
綱手	tunade	mooring rope
横綱	yokozuna	yokozuna
大綱	taikoo	fundamental principles
要綱	yookoo	main principle
命綱	inotizuna	lifeline
手綱	tazuna	bridle
政綱	seikoo	political principle, policy or platform
三綱	sankoo	three bonds
鼻綱	hanazuna	halter
酵素	kooso	enzyme
酵母	koobo	yeast
発酵	hakkoo	fermentation
醗酵	hakkoo	fermentation
稿本	koohon	manuscript
稿料	kooryoo	advance for manuscript
投稿	tookoo	contribution
原稿	genkoo	manuscript
寄稿	kikoo	contribution
草稿	sookoo	notes
遺稿	ikoo	posthumous manuscripts
出稿	syukkoo	placing
改稿	kaikoo	revising
本稿	honkoo	this manuscript
画稿	gakoo	sketch
歌稿	kakoo	manuscript of poem
起稿	kikoo	drafting
拙稿	sekkoo	my manuscript
興味	kyoomi	interest
興奮	koohun	excitement
興行	koogyoo	entertainment industry
興国	kookoku	making a country prosperous
興業	koogyoo	industrial enterprise
興亜	kooa	Asia development
興起	kooki	rise
興産	koosan	industry
興隆	kooryuu	rise
興亡	kooboo	rise and fall
興趣	kyoosyu	interest
興廃	koohai	rise and fall
復興	hukkoo	revival
振興	sinkoo	promotion
新興	sinkoo	rising
即興	sokkyoo	improvisation
再興	saikoo	revival
遊興	yuukyoo	merrymaking
感興	kankyoo	interest
中興	tyuukoo	restoration
一興	ikkyoo	amusement
余興	yokyoo	side show
勃興	bokkoo	sudden rise to power
不興	hukyoo	displeasure
座興	zakyoo	entertainment
秋興	syuukyoo	the pleasantness of autumn
作興	sakkoo	promoting
酒興	syukyoo	merrymaking
衡平	koohei	balance
衡平	koohei	balance
均衡	kinkoo	equilibrium
平衡	heikoo	even scale
連衡	renkoo	alliance
権衡	kenkoo	balance
鋼材	koozai	steel material
鋼板	koohan	steel sheet
鋼鉄	kootetu	steel
鋼管	kookan	steel pipe
鋼索	koosaku	cable
鉄鋼	tekkoo	iron and steel
粗鋼	sokoo	crude steel
製鋼	seikoo	steel manufacture
棒鋼	bookoo	steel rod
軟鋼	nankoo	mild steel
購入	koonyuu	purchase
購読	koodoku	paid subscription
購買	koobai	procurement
拷問	goomon	torture
剛腕	goowan	strong arm
剛球	gookyuu	fast ball
剛直	gootyoku	integrity
剛健	gooken	vigour
剛性	goosei	hardness
剛毅	gooki	fortitude
剛健	gooken	vigour
剛毛	goomoo	bristle
剛毅	gooki	fortitude
剛直	gootyoku	integrity
剛胆	gootan	boldness
剛勇	gooyuu	bravery
金剛	kongoo	vajra
豪華	gooka	wonderful
豪雨	goou	torrential rain
豪快	gookai	hearty
豪雪	goosetu	tremendous snowfall
豪語	googo	boasting
豪邸	gootei	palatial residence
豪華	gooka	wonderful
豪商	goosyoo	wealthy merchant
豪族	goozoku	powerful family
豪傑	gooketu	hero
豪快	gookai	hearty
豪放	goohoo	largehearted
豪勢	goosei	luxury
豪遊	gooyuu	wild merrymaking
豪壮	goosoo	splendour
豪胆	gootan	boldness
豪農	goonoo	wealthy farmer
豪奢	goosya	luxury
豪気	gooki	great
豪奢	goosya	luxury
豪胆	gootan	boldness
豪気	gooki	great
豪儀	googi	great
豪勇	gooyuu	bravery
強豪	kyoogoo	veteran
富豪	hugoo	wealthy person
文豪	bungoo	literary master
古豪	kogoo	veteran
剣豪	kengoo	master fencer
酒豪	syugoo	heavy drinker
土豪	dogoo	powerful local clan
克服	kokuhuku	conquest
克明	kokumei	detailed
克己	kokki	self denial
克復	kokuhuku	restoration
相克	sookoku	rivalry
超克	tyookoku	overcoming
穀物	kokumotu	grain
穀類	kokurui	grains
穀倉	kokusoo	granary
穀粉	kokuhun	flour
穀雨	kokuu	grain rain solar term
穀潰	gokutubusi	good-for-nothing
穀食	kokusyoku	cereal diet
米穀	beikoku	rice
雑穀	zakkoku	assorted grains
脱穀	dakkoku	threshing
五穀	gokoku	the 5 grains
新穀	sinkoku	new grain
酷似	kokuzi	resemblance
酷評	kokuhyoo	severe criticism
酷暑	kokusyo	intense heat
酷使	kokusi	exploitation
酷寒	kokkan	cold
酷薄	kokuhaku	cruel
酷薄	kokuhaku	cruel
酷烈	kokuretu	severity
過酷	kakoku	rigour
残酷	zankoku	cruelty
冷酷	reikoku	cruelty
冷酷	reikoku	cruelty
苛酷	kakoku	rigour
厳酷	genkoku	severity
獄中	gokutyuu	during imprisonment
獄死	gokusi	death in jail
獄門	gokumon	prison gate
獄窓	gokusoo	prison
獄舎	gokusya	prison
獄吏	gokuri	jailer
地獄	zigoku	hell
監獄	kangoku	prison
投獄	toogoku	imprisonment
脱獄	datugoku	prison breaking
疑獄	gigoku	scandal
牢獄	roogoku	prison
出獄	syutugoku	release
大獄	taigoku	roundup
煉獄	rengoku	purgatory
入獄	nyuugoku	imprisonment
破獄	hagoku	jail-breaking
下獄	gegoku	being sent to prison
禁獄	kingoku	imprisonment
駒鳥	komadori	Japanese robin
手駒	tegoma	under one's control
昆虫	kontyuu	insect
昆布	konbu	
痛恨	tuukon	regretful
悔恨	kaikon	regret
遺恨	ikon	grudge
怨恨	enkon	enmity
多恨	takon	many troubles or sadnesses or vexations or grudges
紺色	koniro	deep blue
紺屋	konya	dyer
紺碧	konpeki	deep blue
紺青	konzyoo	Prussian blue
紺地	konzi	dark blue ground
紺絣	kongasuri	dark blue cloth with white splash patterns
濃紺	nookon	dark blue
紫紺	sikon	bluish purple
魂胆	kontan	soul
魂魄	konpaku	soul
鎮魂	tinkon	repose of souls
入魂	zikkon	intimacy
精魂	seikon	soul
闘魂	tookon	fighting spirit
商魂	syookon	commercial spirit
霊魂	reikon	soul
招魂	syookon	invocation of the dead
入魂	zikkon	intimacy
士魂	sikon	manly spirit
人魂	hitodama	disembodied soul
面魂	turadamasii	fierce or defiant look
亡魂	bookon	departed soul
心魂	sinkon	heart and soul
忠魂	tyuukon	loyalty
墾田	konden	new rice field
開墾	kaikon	cultivating new land
懇談	kondan	informal talk
懇話	konwa	chat
懇親	konsin	friendship
懇願	kongan	entreaty
懇切	konsetu	kindness
懇意	koni	kindness
懇意	koni	kindness
懇請	konsei	appeal
懇切	konsetu	kindness
懇望	konboo	entreaty
昵懇	zikkon	intimacy
佐官	sakan	field officer
佐幕	sabaku	adherence to the shogunate
補佐	hosa	aid
大佐	taisa	colonel
中佐	tyuusa	lieutenant colonel
少佐	syoosa	major
輔佐	hosa	aid
沙子	isago	sand
沙漠	sabaku	desert
沙羅	sara	sal tree
沙汰	sata	affair
沙門	syamon	shramana
沙蚕	gokai	ragworm
示唆	sisa	suggestion
教唆	kyoosa	instigation
詐欺	sagi	fraud
詐取	sasyu	defrauding
詐称	sasyoo	misrepresentation
詐偽	sagi	lie
詐術	sazyutu	swindling
鎖国	sakoku	national isolation
鎖骨	sakotu	collarbone
鎖鎌	kusarigama	sickle and chain
閉鎖	heisa	closing
連鎖	rensa	chain
封鎖	huusa	blockade
鉄鎖	tessa	iron chain
災害	saigai	calamity
災難	sainan	calamity
災厄	saiyaku	calamity
災禍	saika	accident
被災	hisai	being a victim of
火災	kasai	conflagration
防災	boosai	disaster prevention
震災	sinsai	earthquake disaster
労災	roosai	work-related injury
戦災	sensai	war damage
天災	tensai	natural calamity
人災	zinsai	man-made calamity
息災	sokusai	good health
罹災	risai	suffering
采配	saihai	baton
采女	uneme	maid-in-waiting
喝采	kassai	acclamation
納采	noosai	betrothal gift
風采	huusai	appearance
砕氷	saihyoo	ice breaking
砕石	saiseki	broken stone
砕片	saihen	debris
粉砕	hunsai	pulverization
玉砕	gyokusai	honourable defeat
破砕	hasai	crushing
圧砕	assai	crushing
宰相	saisyoo	prime minister
宰領	sairyoo	supervision
主宰	syusai	supervision
栽培	saibai	cultivation
盆栽	bonsai	bonsai
前栽	senzai	garden
彩色	saisiki	colouring
彩雲	saiun	glowing clouds
彩管	saikan	artist's brush
多彩	tasai	variegated
色彩	sikisai	colour
精彩	seisai	brilliance
油彩	yusai	oil painting
迷彩	meisai	camouflage
異彩	isai	conspicuousness
虹彩	koosai	iris
光彩	koosai	brilliance
淡彩	tansai	light colouring
生彩	seisai	brilliance
五彩	gosai	the five colours: green, yellow, red, white and black
斎場	saizyoo	funeral hall
斎主	saisyu	master of religious ceremonies
斎戒	saikai	purification
書斎	syosai	study
潔斎	kessai	religious abstinence
裁判	saiban	trial
裁量	sairyoo	admeasure
裁定	saitei	decision
裁決	saiketu	decision
裁断	saidan	judgement
裁縫	saihoo	sewing
裁可	saika	sanction
地裁	tisai	district court
総裁	soosai	president
制裁	seisai	restraint
高裁	koosai	High Court
家裁	kasai	family court
独裁	dokusai	dictatorship
仲裁	tyuusai	arbitration
簡裁	kansai	summary court
決裁	kessai	sanction
体裁	teisai	appearance
洋裁	yoosai	dressmaking
和裁	wasai	Japanese clothing manufacture
断裁	dansai	cutting
親裁	sinsai	matter personally decided by the emperor
債権	saiken	credit
債務	saimu	debt
債券	saiken	bond
債鬼	saiki	cruel creditor
国債	kokusai	national debt
負債	husai	debt
社債	syasai	corporate bond
公債	koosai	public debt
外債	gaisai	foreign loan
起債	kisai	issuing of bonds
募債	bosai	raising of a loan
旧債	kyuusai	old debt
催涙	sairui	lachrymal
催促	saisoku	pressing
催眠	saimin	hypnotism
催事	saizi	special event
催告	saikoku	notification
催物	moyoosimono	points of interest
開催	kaisai	holding a meeting
主催	syusai	sponsorship
共催	kyoosai	joint sponsorship
併催	heisai	combining a pair of events
掲載	keisai	publication
記載	kisai	record
連載	rensai	serialization
搭載	toosai	loading
満載	mansai	fully loaded
艦載	kansai	carried aboard a warship
転載	tensai	reprinting
積載	sekisai	lading
車載	syasai	in-vehicle
登載	toosai	register
休載	kyuusai	nonappearance in print
収載	syuusai	listing
千載	senzai	millennium
所載	syosai	printed
舶載	hakusai	ocean transportation
訳載	yakusai	running a translation
製剤	seizai	formulation
薬剤	yakuzai	medicine
洗剤	senzai	detergent
錠剤	zyoozai	pill
調剤	tyoozai	compounding medicine
溶剤	yoozai	solvent
下剤	gezai	laxative
配剤	haizai	compounding of medicine
液剤	ekizai	liquid medicine
乳剤	nyuuzai	emulsion
鉄剤	tetuzai	iron preparations
油剤	yuzai	medicine
吐剤	tozai	an emetic
散剤	sanzai	powdered medicine
瀉剤	syazai	cathartic
削減	sakugen	cut
削除	sakuzyo	elimination
掘削	kussaku	digging out
添削	tensaku	correction
開削	kaisaku	excavation
研削	kensaku	grinding
切削	sessaku	cutting
索引	sakuin	index
索漠	sakubaku	dreary
索道	sakudoo	overhead freight-carrying cable
索敵	sakuteki	searching for the enemy
索莫	sakubaku	dreary
索麺	soomen	fine white noodles
捜索	soosaku	search
模索	mosaku	groping
検索	kensaku	looking up
思索	sisaku	speculation
探索	tansaku	search
詮索	sensaku	inquiry into
脊索	sekisaku	notochord
摸索	mosaku	groping
鋼索	koosaku	cable
策定	sakutei	decision
策略	sakuryaku	scheme
策動	sakudoo	maneuverings
策謀	sakuboo	strategy
策士	sakusi	intriguer
策戦	sakusen	tactics
政策	seisaku	political measures
対策	taisaku	measure
施策	sisaku	policy
失策	sissaku	blunder
方策	hoosaku	plan
国策	kokusaku	national policy
散策	sansaku	walking
得策	tokusaku	profitable plan
画策	kakusaku	plan
無策	musaku	lacking means or measures or policies
奇策	kisaku	clever scheme
秘策	hisaku	secret plan or measures
金策	kinsaku	raising money
一策	issaku	idea
愚策	gusaku	inane plan
万策	bansaku	all means
術策	zyussaku	artifice
上策	zyoosaku	excellent plan
良策	ryoosaku	good plan or policy
献策	kensaku	suggestion
警策	kyoosaku	Zen stick
下策	gesaku	poor plan
妙策	myoosaku	clever scheme
小策	syoosaku	petty trick
酢酸	sakusan	acetic acid
酢豚	subuta	sweet-and-sour pork
甘酢	amazu	sweet vinegar
食酢	syokuzu	vinegar
木酢	mokusaku	wood vinegar
梅酢	umezu	plum vinegar
生酢	kizu	unadulterated vinegar
搾取	sakusyu	exploitation
搾乳	sakunyuu	milking
搾油	sakuyu	oil expression
圧搾	assaku	pressure
錯覚	sakkaku	optical illusion
錯誤	sakugo	mistake
錯綜	sakusoo	complication
錯乱	sakuran	confusion
錯視	sakusi	optical illusion
錯体	sakutai	complex
錯雑	sakuzatu	complication
交錯	koosaku	mixture
倒錯	toosaku	perversion
介錯	kaisyaku	beheading
撮影	satuei	photography
撮像	satuzoo	taking a picture
特撮	tokusatu	special effects
擦過	sakka	abrasion
摩擦	masatu	friction
桟橋	sanbasi	wharf
桟敷	saziki	reviewing stand
桟俵	sandawara	straw lid covering either end of a rice container
蚕室	sansitu	silkworm-raising room
蚕糸	sansi	silk thread
蚕食	sansyoku	encroachment
蚕豆	soramame	broad bean
蚕業	sangyoo	sericulture
蚕種	sansyu	silkworm-egg card
養蚕	yoosan	sericulture
天蚕	tensan	Japanese oak silkmoth
野蚕	kuwago	wild silkworm moth
沙蚕	gokai	ragworm
惨敗	zanpai	ignominious defeat
惨事	sanzi	disaster
惨状	sanzyoo	disastrous scene
惨劇	sangeki	tragedy
惨禍	sanka	calamity
惨殺	zansatu	slaughter
惨憺	santan	miserable
惨害	sangai	heavy damage
惨烈	sanretu	horrible
惨澹	santan	miserable
惨苦	sanku	terrible pain
惨死	zansi	tragic death
悲惨	hisan	disastrous
凄惨	seisan	ghastly
陰惨	insan	sadness and gloom
無惨	muzan	cruelty
傘下	sanka	affiliated with
傘寿	sanzyu	80th birthday
日傘	higasa	sunshade
雨傘	amagasa	umbrella
洋傘	yoogasa	umbrella
番傘	bangasa	coarse oilpaper umbrella
酸素	sanso	oxygen
酸化	sanka	oxidation
酸味	sanmi	sourness
酸性	sansei	acidity
酸度	sando	acidity
酸鼻	sanbi	appalling
酸類	sanrui	acids
酸漿	hoozuki	ground cherry
炭酸	tansan	carbonic acid
硫酸	ryuusan	sulfuric acid
核酸	kakusan	nucleic acid
塩酸	ensan	hydrochloric acid
硝酸	syoosan	nitric acid
辛酸	sinsan	hardships
乳酸	nyuusan	lactic acid
酢酸	sakusan	acetic acid
青酸	seisan	acid
胃酸	isan	stomach acid
葉酸	yoosan	folic acid
強酸	kyoosan	strong acid
弱酸	zyakusan	weak acid
珪酸	keisan	silicic acid
耐酸	taisan	acid-resistant
甘酸	kansan	sweetness and bitterness
虫酸	musizu	heartburn
暫定	zantei	tentative
暫時	zanzi	short while
士気	siki	morale
士官	sikan	officer
士長	sityoo	leading private
士族	sizoku	family or person with samurai ancestors
士道	sidoo	chivalry
士魂	sikon	manly spirit
士卒	sisotu	officers and soldiers
士分	sibun	status of samurai
士人	sizin	samurai
同士	doosi	fellow
兵士	heisi	soldier
博士	hakase	doctorate
力士	rikisi	sumo wrestler
棋士	kisi	shogi player
武士	busi	warrior
紳士	sinsi	gentleman
修士	syuusi	master's
戦士	sensi	soldier
騎士	kisi	knight
学士	gakusi	university graduate
闘士	toosi	fighter
浪士	roosi	ronin
剣士	kensi	swordsman
志士	sisi	patriot
藩士	hansi	feudal retainer or warrior
文士	bunsi	man of letters
義士	gisi	loyal retainer
弁士	bensi	lecturer
勇士	yuusi	brave warrior
居士	kozi	grhapati
名士	meisi	celebrity
策士	sakusi	intriguer
将士	syoosi	officers and men
国士	kokusi	distinguished citizen
郷士	goosi	country samurai
人士	zinsi	well-bred man
烈士	ressi	upright man
衛士	ezi	soldiers of the ritsuryo system that guarded gates of the imperial palace, the court, etc.
進士	sinsi	palace examination
壮士	soosi	young man in his prime
楽士	gakusi	musician
道士	doosi	a person of high morals
下士	kasi	noncommissioned officer
高士	koosi	man of noble character
隠士	insi	hermit
信士	sinzi	male lay devotee
徒士	kati	foot soldier
