一部	itibu	one part
辛気	sinki	mentality
瑞気	zuiki	good omen
虫気	musike	nervous weakness
吐気	hakike	nausea
油気	aburake	oiliness
鬱気	ukki	gloomy
九重	kokonoe	ninefold
九月	kugatu	September
九九	kuku	multiplication table
九分	kubu	nine parts
九天	kyuuten	sky
九輪	kurin	kurin
九泉	kyuusen	hades
九九	kuku	multiplication table
休日	kyuuzitu	holiday
休養	kyuuyoo	rest
休暇	kyuuka	holiday
休憩	kyuukei	rest
休館	kyuukan	closure
休場	kyuuzyoo	theater closure
休業	kyuugyoo	closed
休止	kyuusi	pause
休職	kyuusyoku	temporary retirement
休校	kyuukoo	closing school
休戦	kyuusen	cease-fire
休会	kyuukai	adjournment
休息	kyuusoku	rest
休眠	kyuumin	idle
休廷	kyuutei	court recess
休講	kyuukoo	lecture cancellation
休耕	kyuukoo	lying fallow
休閑	kyuukan	fallowing
休戚	kyuuseki	weal and woe
休電	kyuuden	electricity cut-off
連休	renkyuu	consecutive holidays
運休	unkyuu	service suspended
定休	teikyuu	regular holiday
無休	mukyuu	without a holiday
育休	ikukyuu	childcare leave
全休	zenkyuu	whole
産休	sankyuu	maternity leave
遊休	yuukyuu	idle
週休	syuukyuu	weekly holiday
帰休	kikyuu	leave
有休	yuukyuu	vacation
公休	kookyuu	legal holiday
代休	daikyuu	compensatory holiday
半休	hankyuu	half holiday
金融	kinyuu	financing
金利	kinri	interest rates
金額	kingaku	amount of money
金属	kinzoku	metal
金曜	kinyoo	Friday
金銭	kinsen	money
金庫	kinko	safe
金星	kinbosi	dazzling victory
金色	kiniro	golden
金品	kinpin	money and goods
金魚	kingyo	goldfish
金城	kinzyoo	impregnable castle
金銀	kingin	gold and silver
金権	kinken	power of money
金賞	kinsyoo	prize
金券	kinken	gold certificate
金髪	kinpatu	blond hair
金網	kanaami	wire netting
金子	kinsu	money
金杯	kinpai	gold cup
金貨	kinka	gold coin
金納	kinnoo	cash payment
金箔	kinpaku	gold leaf
金山	kanayama	mine
金塊	kinkai	gold nugget
金剛	kongoo	vajra
金鉱	kinkoo	gold mine
金脈	kinmyaku	vein of gold
金物	kanamono	metal utensil
金策	kinsaku	raising money
金言	kingen	wise saying
金目	kaneme	monetary value
金時	kintoki	red
金工	kinkoo	metalwork
金棒	kanaboo	metal rod
金環	kinkan	gold ring
金粉	kinpun	gold dust
金欠	kinketu	running out of money
金糸	kinsi	gold thread
金製	kinsei	made of gold
金泥	kindei	gold paint
金力	kinryoku	monetary power
金輪	kanawa	metal ring
金管	kinkan	instrument
金石	kinseki	minerals and rocks
金敷	kanasiki	anvil
金員	kinin	money
金字	kinzi	gold or gilt letters
金歯	kinba	gold tooth
金襴	kinran	gold brocade
金縁	kinbuti	gilded edges or rims
金持	kanemoti	rich person
金冠	kinkan	gold crown
金玉	kintama	testicles
金的	kinteki	bull's-eye
金将	kinsyoo	gold general
金砂	kinsya	gold dust
金気	kanake	metallic taste
金座	kinza	Edo-period gold mint
金柑	kinkan	kumquat
金紗	kinsya	silk crepe
金槌	kanazuti	hammer
金位	kini	fineness of gold
金頭	kanagasira	redwing searobin
金牌	kinpai	gold medal
金肥	kanegoe	chemical fertilizer
金蔓	kanezuru	source of revenue
金円	kinen	money
金波	kinpa	golden waves
金高	kindaka	sum
金蛇	kanahebi	lacertid
金側	kingawa	a gold case
金釘	kanakugi	iron nail
金筋	kinsuzi	gold stripes
金串	kanagusi	metal spit
金鉄	kintetu	gold and iron
金盃	kinpai	gold cup
金盥	kanadarai	metal basin
資金	sikin	funds
年金	nenkin	annuity
現金	genkin	cash
料金	ryookin	fee
献金	kenkin	donation
基金	kikin	fund
預金	yokin	deposit
賞金	syookin	prize
賃金	tingin	wages
借金	syakkin	debt
税金	zeikin	tax
罰金	bakkin	fine
貯金	tyokin	putting money aside
代金	daikin	price
裏金	uragane	bribe
募金	bokin	fund-raising
送金	sookin	remittance
黄金	oogon	gold
貸金	kasikin	loan
公金	kookin	public funds
入金	nyuukin	deposit
返金	henkin	repayment
信金	sinkin	credit union
集金	syuukin	money collection
換金	kankin	realization
出金	syukkin	withdrawal
課金	kakin	charges
合金	gookin	alloy
針金	harigane	wire
千金	senkin	1000 pounds
敷金	sikikin	deposit
損金	sonkin	financial loss
板金	bankin	sheet metal
残金	zankin	remaining money
元金	gankin	capital
白金	hakkin	platinum
拝金	haikin	money-worship
純金	zyunkin	pure gold
給金	kyuukin	pay
礼金	reikin	finder's fee
頭金	atamakin	down payment
納金	nookin	payment
小金	kogane	small sum of money
地金	zigane	ore
砂金	syakin	gold dust
謝金	syakin	reward
寄金	kikin	contribution
彫金	tyookin	metal carving
前金	maekin	advance payment
冶金	yakin	metallurgy
現金	genkin	cash
用金	yookin	public money
差金	sasigane	carpenter's square
成金	narikin	upstart
益金	ekikin	profit
鋳金	tyuukin	casting
内金	utikin	deposit
贋金	nisegane	counterfeit money
口金	kutigane	cap
鍍金	mekki	gilt
座金	zagane	metal washer
即金	sokkin	payment in full
偽金	nisegane	counterfeit money
涙金	namidakin	consolation money
掛金	kakekin	installment
正金	syookin	specie
引金	hikigane	trigger
後金	atokin	rest of the payment
万金	mankin	immense sum
官金	kankin	government funds
赤金	akagane	copper
帯金	obigane	iron band
義金	gikin	contribution
産金	sankin	gold mining
賜金	sikin	monetary grant
償金	syookin	reparation
断金	dankin	close friendship
鬱金	ukon	turmeric
月額	getugaku	monthly amount
月間	gekkan	month-long period
月曜	getuyoo	Monday
月刊	gekkan	monthly publication
月例	geturei	monthly
月給	gekkyuu	monthly salary
月収	gessyuu	monthly income
月末	getumatu	end of the month
月面	getumen	moon's surface
月経	gekkei	menstruation
月齢	geturei	age of the moon
月報	geppoo	monthly report
月光	gekkoo	moonlight
月日	tukihi	time
月々	tukizuki	every month
月別	tukibetu	by months
月食	gessyoku	lunar eclipse
月評	geppyoo	monthly review
月産	gessan	monthly output
月見	tukimi	viewing the moon
月謝	gessya	monthly tuition fee
月夜	tukiyo	moonlit night
月々	tukizuki	every month
月次	getuzi	every month
月餅	geppei	mooncake
月影	tukikage	moonlight
月下	gekka	in the moonlight
月明	getumei	moonlight
月並	tukinami	every month
月琴	gekkin	yueqin
月蝕	gessyoku	lunar eclipse
月輪	geturin	moon
月賦	geppu	monthly installment
月桂	gekkei	laurel
月俸	geppoo	monthly salary
月頃	tukigoro	these past months
月極	tukigime	monthly
月利	geturi	monthly interest
月央	getuoo	middle of the month
月役	tukiyaku	menstruation
今月	kongetu	this month
先月	sengetu	last month
来月	raigetu	next month
同月	doogetu	the same month
毎月	maituki	every month
前月	zengetu	last month
正月	syoogatu	New Year
歳月	saigetu	time
年月	tosituki	months and years
翌月	yokugetu	following month
半月	hantuki	half-moon
五月	gogatu	May
満月	mangetu	full moon
蜜月	mitugetu	honeymoon
八月	hatigatu	August
新月	singetu	new moon
花月	kagetu	flowers and the moon
隔月	kakugetu	every second month
四月	sigatu	April
三月	sangatu	March
二月	nigatu	February
九月	kugatu	September
六月	rokugatu	June
十月	zyuugatu	October
名月	meigetu	harvest moon
望月	motizuki	full moon
七月	sitigatu	July
一月	itigatu	January
明月	meigetu	harvest moon
日月	zitugetu	sun and moon
半月	hantuki	half-moon
人月	ningetu	man month
秋月	syuugetu	autumn moon
ヶ月	kagetu	months
風月	huugetu	nature's beauty
当月	toogetu	this month
水月	suigetu	water and moon
寒月	kangetu	wintry moon
海月	kurage	jellyfish
無月	mugetu	moonless sky
限月	gengetu	contract month
ヵ月	kagetu	months
後月	atogetu	last month
朧月	oborozuki	hazy moon
箇月	kagetu	months
去月	kyogetu	last month
弦月	gengetu	crescent moon
閏月	zyungetu	intercalary month
旬月	zyungetu	month and ten days
例月	reigetu	every month
見方	mikata	viewpoint
見解	kenkai	opinion
見事	migoto	splendid
見学	kengaku	inspection
見物	kenbutu	sightseeing
見識	kensiki	views
見本	mihon	sample
見地	kenti	point of view
見分	kenbun	inspection
見当	kentoo	aim
見聞	kenbun	information
見積	mitumori	estimate
見習	minarai	learn by observation
見栄	mie	airs
見参	kenzan	seeing
見番	kenban	geisha call-office
見世	mise	store
見所	midokoro	point worthy of note
見境	misakai	distinction
見目	mime	appearance
見高	kendaka	pride
見付	mituke	approach
見返	mikaesi	endpaper
見込	mikomi	hope
見性	kensyoo	self-awareness
見台	kendai	bookrest
見様	miyoo	point of view
見頃	migoro	best time to see
見神	kensin	beatific vision
見処	midokoro	point worthy of note
見幕	kenmaku	threatening attitude
見料	kenryoo	admission fee
会見	kaiken	interview
意見	iken	opinion
発見	hakken	discovery
偏見	henken	prejudice
接見	sekken	interview
浅見	senken	shallow view
外見	gaiken	outward appearance
予見	yoken	foresight
後見	kooken	guardianship
一見	ikken	look
知見	tiken	expertise
下見	sitami	preview
拝見	haiken	seeing
所見	syoken	view
先見	senken	foresight
必見	hikken	must-see
政見	seiken	political views
形見	katami	memento
私見	siken	personal opinion
露見	roken	discovery
夢見	yumemi	having a dream
月見	tukimi	viewing the moon
識見	sikiken	views
味見	azimi	sampling
謁見	ekken	audience
姿見	sugatami	dresser
早見	hayami	chart
物見	monomi	sightseeing
細見	saiken	scrutiny
雪見	yukimi	snow viewing
了見	ryooken	idea
卓見	takken	clearsightedness
定見	teiken	fixed opinion
未見	miken	unacquainted
異見	iken	different opinion
風見	kazami	weather vane
書見	syoken	reading
毒見	dokumi	poison tasting
検見	kenmi	inspection
達見	takken	farsightedness
望見	booken	watching from afar
目見	mami	look
引見	inken	audience
創見	sooken	originality
管見	kanken	narrow insight
邪見	zyaken	evil point of view
謬見	byuuken	fallacy
瞥見	bekken	glance
我見	gaken	selfish mind
愚見	guken	one's humble opinion
他見	taken	viewing by others
卑見	hiken	my humble opinion
五輪	gorin	the Olympics
五感	gokan	the five senses
五月	gogatu	May
五味	gomi	five flavors
五体	gotai	the whole body
五色	gosiki	variegated colors
五行	gogyoo	wu xing
五穀	gokoku	the 5 grains
五指	gosi	the five fingers
五徳	gotoku	the five virtues
五線	gosen	staff
五戒	gokai	the five precepts
五音	goin	pentatonic scale
五臓	gozoo	the five viscera
五分	gobu	half
五加	ukogi	fiveleaf aralia
五絃	gogen	five strings
五分	gobu	half
五蘊	goun	the five skandhas
午後	gogo	afternoon
午前	gozen	morning
午睡	gosui	nap
午餐	gosan	lunch
午后	gogo	afternoon
午砲	gohoo	noon gun
正午	syoogo	noon
後半	koohan	second half
後援	kooen	support
後退	kootai	retreat
後任	koonin	successor
後継	kookei	succession
後期	kooki	latter period
後方	koohoo	behind
後輩	koohai	junior
後続	koozoku	succeeding
後悔	kookai	regret
後日	gozitu	in the future
後部	koobu	rear
後者	koosya	the latter
後世	koosei	posterity
後発	koohatu	starting late
後半	koohan	second half
後進	koosin	one's junior
後見	kooken	guardianship
後記	kooki	postscript
後味	atoazi	aftertaste
後年	koonen	future years
後尾	koobi	the rear
後列	kooretu	rear
後々	atoato	distant future
後逸	kooitu	pass
後編	koohen	latter part
後塵	koozin	second fiddle
後妻	gosai	second wife
後身	koosin	successor
後天	kooten	a posteriori
後山	atoyama	pusher
後釜	atogama	successor
後先	atosaki	front and rear
後述	koozyutu	later mention
後略	kooryaku	omitting the rest
後宮	kookyuu	inner palace
後代	koodai	posterity
後生	koosei	younger people
後景	kookei	background
後家	goke	widow
後衛	kooei	rear guard
後顧	kooko	looking back
後姿	usirosugata	retreating figure
後場	goba	afternoon session
後事	koozi	future affairs
後刻	gokoku	afterwards
後光	gokoo	halo
後難	koonan	future problems
後月	atogetu	last month
後口	atokuti	aftertaste
後嗣	koosi	heir
後足	atoasi	hind legs
後納	koonoo	deferred payment
後書	atogaki	afterword
後人	koozin	posterity
後学	koogaku	younger scholar
後端	kootan	end
後裔	kooei	descendant
後室	koositu	dowager
後金	atokin	rest of the payment
後産	atozan	placenta
後便	koobin	later mail
後目	sirime	backward glance
後患	kookan	future trouble
後作	atosaku	second crop
後胤	kooin	descendant
後架	kooka	toilet
後備	koobi	rear guard
後翅	koosi	hindwing
午後	gogo	afternoon
今後	kongo	from now on
最後	saigo	last
戦後	sengo	postwar period
以後	igo	after this
前後	zengo	front and rear
死後	sigo	after death
背後	haigo	back
生後	seigo	post-natal
老後	roogo	old age
没後	botugo	after death
事後	zigo	after-
術後	zyutugo	postoperative
食後	syokugo	after a meal
産後	sango	postpartum
読後	dokugo	after reading a book
銃後	zyuugo	the homefront
病後	byoogo	convalescence
予後	yogo	prognosis
雨後	ugo	after rain
落後	rakugo	dropping out of
人後	zingo	behind others
向後	koogo	hereafter
牛後	gyuugo	rump of cattle
爾後	zigo	thereafter
歿後	botugo	after death
別後	betugo	since we parted
浴後	yokugo	after bathing
語学	gogaku	language study
語気	goki	tone
語源	gogen	word root
語録	goroku	analects
語彙	goi	vocabulary
語句	goku	words
語感	gokan	sense of language
語尾	gobi	end of a word
語法	gohoo	diction
語調	gotyoo	tone
語呂	goro	sound
語義	gogi	meaning of a word
語族	gozoku	family of languages
語数	gosuu	number of words
語弊	gohei	faulty expression
語順	gozyun	word order
語意	goi	meaning of a word
語頭	gotoo	first part of a word
語原	gogen	word root
語勢	gosei	stress
語路	goro	sound
語形	gokei	word form
語部	kataribe	storyteller
語幹	gokan	stem
語根	gokon	of a word
物語	monogatari	tale
英語	eigo	English
落語	rakugo	rakugo
言語	gengo	language
国語	kokugo	national language
用語	yoogo	term
季語	kigo	seasonal word
単語	tango	word
標語	hyoogo	motto
敬語	keigo	honorific
造語	zoogo	coined word
仏語	hutugo	French
死語	sigo	dead language
豪語	googo	boasting
外語	gaigo	foreign language
熟語	zyukugo	kanji compound
新語	singo	new word
勅語	tyokugo	imperial rescript
口語	koogo	spoken language
私語	sigo	whispering
母語	bogo	mother tongue
一語	itigo	one word
主語	syugo	subject
隠語	ingo	secret language
略語	ryakugo	abbreviation
原語	gengo	original word
漢語	kango	Chinese word
独語	dokugo	monologue
古語	kogo	obsolete word
俗語	zokugo	colloquialism
文語	bungo	written language
類語	ruigo	quasi-synonym
人語	zingo	human speech
反語	hango	irony
成語	seigo	set phrase
結語	ketugo	conclusion
米語	beigo	American English
述語	zyutugo	predicate
失語	situgo	forgetting the words
逐語	tikugo	word-for-word
梵語	bongo	Sanskrit
詩語	sigo	poetic diction
妄語	moogo	lie
連語	rengo	compound word
雅語	gago	refined diction
祖語	sogo	protolanguage
廃語	haigo	obsolete word
激語	gekigo	harsh language
法語	hoogo	Buddhist sermon
洋語	yoogo	Western language
術語	zyutugo	technical term
評語	hyoogo	critical remarks
卑語	higo	vulgar expression
隻語	sekigo	just a few words
通語	tuugo	common speech
喃語	nango	lover's whispers
統語	toogo	syntactic
蜚語	higo	baseless rumor
縁語	engo	associated word
私語	sasamegoto	whispering
畳語	zyoogo	syllable repetition
難語	nango	difficult word
行政	gyoosei	administration
行動	koodoo	action
行為	kooi	act
行方	yukue	whereabouts
行使	koosi	use
行事	gyoozi	event
行進	koosin	march
行列	gyooretu	line
行員	kooin	bank clerk
行脚	angya	pilgrimage
行楽	kooraku	outing
行程	kootei	journey
行司	gyoozi	referee
行間	gyookan	line-spacing in text
行儀	gyoogi	manners
行商	gyoosyoo	monger
行書	gyoosyo	running script
行軍	koogun	march
行状	gyoozyoo	behavior
行幸	gyookoo	Imperial visit
行者	gyoozya	ascetic
行路	kooro	one's course
行人	koozin	passer-by
行水	gyoozui	tub bath
行旅	kooryo	traveling
行跡	gyooseki	behavior
行李	koori	portmanteau
行頭	gyootoo	beginning of line
行火	anka	bed warmer
行先	ikisaki	destination
行年	gyoonen	age at one's death
行文	koobun	writing
行啓	gyookei	attendance
行末	yukusue	fate
行末	yukusue	fate
行来	ikiki	coming and going
銀行	ginkoo	bank
発行	hakkoo	issue
執行	sikkoo	execution
現行	genkoo	present
実行	zikkoo	practice
旅行	ryokoo	travel
施行	sikoo	execution
先行	senkoo	preceding
飛行	hikoo	aviation
暴行	bookoo	assault
移行	ikoo	switching over to
犯行	hankoo	crime
進行	sinkoo	advance
同行	dookoo	accompanying
代行	daikoo	acting as agent
刊行	kankoo	publication
流行	ryuukoo	fashion
強行	kyookoo	forcing
運行	unkoo	service
歩行	hokoo	walk
履行	rikoo	performance
通行	tuukoo	passage
並行	heikoo	side-by-side
連行	renkoo	taking
続行	zokkoo	continuation
非行	hikoo	delinquency
航行	kookoo	cruise
断行	dankoo	decisive action
遂行	suikoo	accomplishment
横行	ookoo	walking sideways
平行	heikoo	concurrent
一行	ikkoo	line
修行	syugyoo	ascetic practices
逆行	gyakkoo	reverse movement
紀行	kikoo	traveller's journal
試行	sikoo	making an attempt
直行	tyokkoo	through
慣行	kankoo	customary practice
力行	rikkoo	strenuous efforts
壮行	sookoo	rousing
決行	kekkoo	doing
急行	kyuukoo	moving at high speed
各行	kakukoo	each line
敢行	kankoo	decisive action
随行	zuikoo	attendant
携行	keikoo	carrying
蛇行	dakoo	meandering
孝行	kookoo	filial piety
奉行	bugyoo	magistrate
他行	tagyoo	absence from home
血行	kekkoo	circulation
徐行	zyokoo	going slowly
凶行	kyookoo	violence
尾行	bikoo	shadow
愚行	gukoo	folly
専行	senkoo	acting arbitrarily
言行	genkoo	speech and behaviour
励行	reikoo	strict enforcement
予行	yokoo	rehearsal
平行	heikoo	concurrent
蛮行	bankoo	act of barbarity
淫行	inkoo	obscenity
素行	sokoo	behaviour
悪行	akugyoo	misdeed
道行	mitiyuki	going down the road
善行	zenkoo	good deed
巡行	zyunkoo	patrol
奇行	kikoo	eccentricity
遊行	yugyoo	wandering
改行	kaigyoo	new line
苦行	kugyoo	penance
退行	taikoo	retrogression
挙行	kyokoo	celebration
独行	dokkoo	going alone
品行	hinkoo	conduct
五行	gogyoo	wu xing
他行	takoo	absence from home
山行	sankoo	mountain hiking
鈍行	donkoo	ordinary train
洋行	yookoo	overseas travel
荒行	aragyoo	asceticism
当行	tookoo	our bank
乱行	rangyoo	violent conduct
知行	tigyoo	fief
勤行	gongyoo	religious service
併行	heikoo	side-by-side
緩行	kankoo	going slowly
跛行	hakoo	limp
孝行	kookoo	filial piety
遡行	sokoo	going upstream
単行	tankoo	going alone
奥行	okuyuki	depth
盛行	seikoo	frequency
順行	zyunkoo	going in order
密行	mikkoo	prowling about
兼行	kenkoo	doing simultaneously
難行	nangyoo	penance
角行	kakkoo	bishop
篤行	tokkoo	virtuous conduct
操行	sookoo	conduct
騎行	kikoo	horseback riding
印行	inkoo	publishing
兇行	kyookoo	violence
舟行	syuukoo	boating
醜行	syuukoo	conduct
所行	syogyoo	deed
微行	bikoo	traveling incognito
百行	hyakkoo	all acts
校長	kootyoo	principal
校舎	koosya	school building
校内	koonai	within a school
校庭	kootei	schoolyard
校閲	kooetu	revision
校歌	kooka	school song
校門	koomon	school gate
校正	koosei	proofreading
校区	kooku	school district
校外	koogai	off-campus
校則	koosoku	school regulations
校友	kooyuu	schoolmate
校風	koohuu	school tradition
校訂	kootei	revision
校章	koosyoo	school badge
校訓	kookun	school precepts
校医	kooi	school doctor
校旗	kooki	school flag
校規	kooki	school regulations
校合	kyoogoo	collation
校本	koohon	annotated textbook
高校	kookoo	senior high school
学校	gakkoo	school
登校	tookoo	attendance
同校	dookoo	same school
母校	bokoo	alma mater
将校	syookoo	commissioned officer
開校	kaikoo	opening a school
全校	zenkoo	the whole school
休校	kyuukoo	closing school
各校	kakukoo	each school
転校	tenkoo	change schools
他校	takoo	another school
分校	bunkoo	branch school
対校	taikoo	pertaining to school
閉校	heikoo	closing a school
本校	honkoo	main school
入校	nyuukoo	matriculation
来校	raikoo	school visit
検校	kengyoo	correction
藩校	hankoo	clan school
在校	zaikoo	being in school
当校	tookoo	this school
退校	taikoo	leaving school
貴校	kikoo	school
高校	kookoo	senior high school
高齢	koorei	age
高速	koosoku	high speed
高裁	koosai	High Court
高級	kookyuu	high class
高度	koodo	altitude
高騰	kootoo	sudden price jump
高官	kookan	high official
高額	koogaku	large sum
高値	takane	high price
高等	kootoo	high class
高原	koogen	tableland
高層	koosoo	multistory
高温	kooon	high temperature
高専	koosen	technical college
高揚	kooyoo	enhancement
高価	kooka	high price
高卒	koosotu	high school graduate
高地	kooti	high ground
高圧	kooatu	high voltage
高架	kooka	overhead structure
高熱	koonetu	high fever
高座	kooza	platform
高台	takadai	elevation
高波	takanami	high waves
高低	kootei	high and low
高給	kookyuu	high salary
高下	kooge	rise and fall
高山	koozan	high mountain
高炉	kooro	blast furnace
高音	takane	high-pitched tone
高潮	kootyoo	high tide
高率	kooritu	high rate
高次	koozi	higher-order-
高率	kooritu	high rate
高峰	kouhou	high mountain
高所	koosyo	high altitude
高名	koomyoo	fame
高僧	koosoo	high priest
高貴	kooki	high class
高慢	kooman	haughty
高瀬	takase	shallow river
高位	kooi	dignity
高利	koori	high interest rate
高根	takane	high peak
高床	takayuka	raised-floor
高潔	kooketu	purity
高木	kooboku	tall tree
高段	koodan	highly ranked
高大	koodai	lofty
高位	kooi	dignity
高額	koogaku	large sum
高慢	kooman	haughty
高弟	kootei	best pupil
高尚	koosyoo	high
高価	kooka	high price
高菜	takana	leaf mustard
高年	koonen	old age
高遠	kooen	noble
高嶺	takane	high peak
高風	koohuu	noble character
高配	koohai	good offices
高遠	kooen	noble
高大	koodai	lofty
高雅	kooga	refined
高進	koosin	rising
高貴	kooki	high class
高尚	koosyoo	high
高徳	kootoku	eminent virtue
高空	kookuu	high altitude
高踏	kootoo	highbrow
高坏	takatuki	serving table
高堂	koodoo	you
高楼	kooroo	building
高邁	koomai	noble
高邁	koomai	noble
高雅	kooga	refined
高説	koosetu	your opinion
高禄	kooroku	high salary
高角	kookaku	high-angle
高密	koomitu	high density
高覧	kooran	perusal
高言	koogen	boasting
高評	koohyoo	high reputation
高欄	kooran	railing
高吟	koogin	loud recitation
高足	koosoku	best student
高点	kooten	high score
高殿	takadono	stately mansion
高枕	takamakura	high pillow
高論	kooron	intelligent opinion
高閣	kookaku	tall building
高誼	koogi	kindness or favour
高鼾	takaibiki	loud snoring
最高	saikoo	highest
残高	zandaka	balance
標高	hyookoo	elevation
割高	waridaka	comparatively high
中高	nakadaka	convex
声高	kowadaka	with a loud voice
孤高	kokoo	isolation
崇高	suukoo	loftiness
激高	gekkoo	excited
元高	motodaka	principal
至高	sikoo	supreme
腰高	kosidaka	overbearing
最高	saikoo	highest
波高	hakoo	wave height
座高	zakoo	one's sitting height
石高	kokudaka	yield
登高	tookoo	climbing up
見高	kendaka	pride
目高	medaka	medaka ricefish
現高	gendaka	the present amount
権高	kendaka	pride
金高	kindaka	sum
甲高	koodaka	high-pitched
嵩高	kasadaka	bulky
総高	soodaka	total amount
国際	kokusai	international
国民	kokumin	nation
国会	kokkai	National Diet
国内	kokunai	internal
国家	kokka	state
国立	kokuritu	national
国土	kokudo	country
国交	kokkoo	diplomatic relations
国債	kokusai	national debt
国防	kokuboo	national defence
国務	kokumu	affairs of state
国境	kokkyoo	national border
国籍	kokuseki	nationality
国産	kokusan	domestic
国営	kokuei	state management
国王	kokuoo	king
国外	kokugai	outside the country
国政	kokusei	national politics
国庫	kokko	national treasury
国語	kokugo	national language
国技	kokugi	national sport
国体	kokutai	national polity
国道	kokudoo	national highway
国益	kokueki	national interest
国有	kokuyuu	national ownership
国宝	kokuhoo	national treasure
国々	kuniguni	countries
国旗	kokki	national flag
国税	kokuzei	national tax
国歌	kokka	national anthem
国策	kokusaku	national policy
国名	kokumei	country name
国力	kokuryoku	national power
国論	kokuron	public opinion
国賓	kokuhin	state guest
国威	kokui	national prestige
国是	kokuze	national policy
国母	kokubo	empress
国柄	kunigara	national character
国権	kokken	power of the state
国人	kunibito	indigenous person
国葬	kokusoo	state funeral
国事	kokuzi	national affairs
国定	kokutei	state-sponsored
国史	kokusi	history of a nation
国教	kokkyoo	state religion
国難	kokunan	national crisis
国津	kunitu	of the land
国大	kokudai	national university
国書	kokusyo	credentials
国賊	kokuzoku	traitor
国富	kokuhu	national wealth
国文	kokubun	national literature
国号	kokugoo	name of a country
国光	kokkoo	national glory
国辱	kokuzyoku	national disgrace
国勢	kokusei	of a country
国鳥	kokutyoo	national bird
国元	kunimoto	hometown
国司	kokusi	provincial governor
国花	kokka	national flower
国電	kokuden	national railroad
国主	kokusyu	king
国守	kokusyu	daimyo
国法	kokuhoo	national law
国禁	kokkin	state prohibition
国璽	kokuzi	the seal of state
国手	kokusyu	skilled physician
国利	kokuri	national interests
国華	kokka	national pride
国訛	kuninamari	dialect
国界	kokkai	national border
国許	kunimoto	hometown
国侍	kunizamurai	provincial samurai
国典	kokuten	national law
国表	kuniomote	one's home
全国	zenkoku	countrywide
外国	gaikoku	foreign country
各国	kakkoku	each nation
両国	ryookoku	both countries
諸国	syokoku	various countries
同国	dookoku	the same country
大国	taikoku	large country
入国	nyuukoku	entry to a country
自国	zikoku	one's own country
他国	takoku	foreign country
帝国	teikoku	empire
祖国	sokoku	motherland
王国	ookoku	kingdom
母国	bokoku	one's homeland
隣国	ringoku	neighbouring country
天国	tengoku	paradise
愛国	aikoku	country
建国	kenkoku	founding of a nation
戦国	sengoku	belligerent country
一国	ikkoku	whole country
立国	rikkoku	founding of a nation
東国	toogoku	eastern country
本国	hongoku	one's own country
軍国	gunkoku	nation at war
異国	ikoku	foreign country
小国	syookoku	small country
島国	simaguni	island country
雪国	yukiguni	snow country
北国	kitaguni	northern provinces
開国	kaikoku	founding a country
敵国	tekkoku	enemy nation
鎖国	sakoku	national isolation
南国	nangoku	southern countries
強国	kyookoku	strong nation
故国	kokoku	one's native land
富国	hukoku	rich country
万国	bankoku	all countries
亡国	bookoku	ruined country
内国	naikoku	home country
憂国	yuukoku	patriotism
皇国	kookoku	Japan
貴国	kikoku	your country
某国	bookoku	certain country
公国	kookoku	dukedom
属国	zokkoku	vassal state
神国	sinkoku	land of the gods
報国	hookoku	patriotism
山国	yamaguni	mountainous country
経国	keikoku	government
領国	ryoogoku	territory
和国	wakoku	Yamato
生国	syoogoku	one's native country
列国	rekkoku	nations
挙国	kyokoku	the whole nation
与国	yokoku	ally
遠国	ongoku	distant land
我国	wagakuni	our country
三国	sangoku	three countries
君国	kunkoku	monarchy
傾国	keikoku	beauty
御国	mikuni	country
治国	tikoku	government
弱国	zyakkoku	weak country
海国	kaikoku	maritime nation
郷国	kyookoku	one's native land
近国	kingoku	neighboring country
今年	kotosi	this year
今回	konkai	now
今後	kongo	from now on
今月	kongetu	this month
今季	konki	this season
今週	konsyuu	this week
今日	kyoo	today
今度	kondo	now
今春	konsyun	this spring
今夏	konka	this summer
今秋	konsyuu	autumn
今夜	konya	this evening
今期	konki	the present term
今朝	kesa	this morning
今期	konki	the present term
今冬	kontoo	this winter
今晩	konban	tonight
今時	imadoki	present day
今昔	konzyaku	past and present
今風	imahuu	modern style
今夕	konyuu	this evening
今様	imayoo	modern style
今宵	koyoi	this evening
今生	konzyoo	this life
今般	konpan	now
今頃	imagoro	about this time
今次	konzi	the present time
今上	kinzyoo	the reigning emperor
今暁	kongyoo	this morning
昨今	sakkon	nowadays
現今	genkon	the present
只今	tadaima	Here I am
即今	sokkon	at the moment
当今	tookon	nowadays
自今	zikon	from now on
方今	hookon	present time
唯今	tadaima	Here I am
左右	sayuu	left and right
左翼	sayoku	left-wing
左腕	sawan	left arm
左足	hidariasi	left foot
左派	saha	left wing
左手	hidarite	left hand
左上	hidariue	left-upper
左側	hidarigawa	left
左下	hidarisita	lower left
左辺	sahen	left side
左端	hidarihasi	left end
左肩	hidarikata	left shoulder
左目	hidarime	left eye
左記	saki	undermentioned
左折	sasetu	turning to the left
左隅	hidarisumi	left-hand corner
左官	sakan	plasterer
左遷	sasen	demotion
左舷	sagen	port
左脳	sanoo	left brain
左岸	sagan	left bank
左傾	sakei	leftist
左党	satoo	drinker
左巻	hidarimaki	counterclockwise
左様	sayoo	like that
右左	migihidari	right and left
極左	kyokusa	extreme left
証左	syoosa	evidence
